"Source:","/home/preeve/Projects/git/TMP108/hardware/kicad/TMP108.sch"
"Date:","Sun 12 Jun 2022 20:52:51 BST"
"Tool:","Eeschema 5.1.10-88a1d61d58~90~ubuntu20.04.1"
"Component Count:","33"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","1000uF","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","",""
"C2","100nF","Capacitor_THT:C_Rect_L4.6mm_W3.0mm_P2.50mm_MKS02_FKP02","~","",""
"C3","100n","Capacitor_THT:C_Rect_L4.6mm_W3.0mm_P2.50mm_MKS02_FKP02","~","",""
"D1","INST","LED_THT:LED_D1.8mm_W3.3mm_H2.4mm","https://docs.rs-online.com/0b77/0900766b814f5345.pdf","",""
"D2","SRCE","LED_THT:LED_D1.8mm_W3.3mm_H2.4mm","https://docs.rs-online.com/0b77/0900766b814f5345.pdf","",""
"D3","SETP","LED_THT:LED_D1.8mm_W3.3mm_H2.4mm","https://docs.rs-online.com/0b77/0900766b814f5345.pdf","",""
"D4","TINT","LED_THT:LED_D1.8mm_W3.3mm_H2.4mm","https://docs.rs-online.com/0b77/0900766b814f5345.pdf","",""
"D5","PWR","LED_THT:LED_D3.0mm_FlatTop","https://docs.rs-online.com/0b77/0900766b814f5345.pdf","",""
"F1","1A","Fuse:Fuse_Littelfuse_395Series","~","",""
"J1","Screw_Terminal_01x08","PDJR-connectors:Phoenix-FK-MPT-8-3,5","https://docs.rs-online.com/ec95/0900766b812b7095.pdf","",""
"J2","Screw_Terminal_01x08","PDJR-connectors:Phoenix-FK-MPT-8-3,5","https://docs.rs-online.com/ec95/0900766b812b7095.pdf","",""
"J3","CAN","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-5-2.54_1x05_P2.54mm_Horizontal","~","",""
"R1","380R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R2","2K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R3","2K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R4","2K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R5","2K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R6","2K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R7","2K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R8","2K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R9","2K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R10","380R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R11","380R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R12","380R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R13","380R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R14","120R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"R15","4K7","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","",""
"SW1","PRG","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","~","",""
"SW2","BUS","Package_DIP:DIP-4_W7.62mm_LongPads","~","",""
"SW3","PRG-VALUE","Package_DIP:DIP-16_W7.62mm","~","",""
"U1","Teensy_3.2","Package_DIP:DIP-28_W15.24mm_LongPads","","",""
"U2","TMR-1211","PDJR-connectors:TMR-1-1211","","",""
"U3","MCP2551-I-P","Package_DIP:DIP-8_W7.62mm","http://ww1.microchip.com/downloads/en/devicedoc/21667d.pdf","",""
